county,city_code,urban_rural,region
1,1017,1,7
1,1213,1,7
1,1348,1,7
1,1151,1,7
1,1455,1,7
1,1696,1,7
1,1794,1,7
1,1874,1,7
1,8096,1,7
1,1936,1,7
1,2130,3,7
1,2309,3,7
1,2381,3,7
1,2577,3,7
1,2915,1,7
1,2988,3,7
1,3039,3,7
1,3397,3,7
1,3459,3,7
1,4106,3,7
1,3761,3,7
1,3805,3,7
1,3841,3,7
1,3958,3,7
1,1071,3,7
1,4008,3,7
1,4188,3,7
1,4142,3,7
1,4240,3,7
1,4268,3,7
1,4302,3,7
1,4366,3,7
1,4482,3,7
1,4525,3,7
1,4703,3,7
1,4767,3,7
1,4927,3,7
1,4981,3,7
1,5103,3,7
1,5167,3,7
1,5210,3,7
1,5309,3,7
1,5336,3,7
1,5577,3,7
1,5700,3,7
1,5755,3,7
1,5826,3,7
1,6048,3,7
1,6119,3,7
1,6164,3,7
1,6217,3,7
1,6271,3,7
1,6397,3,7
1,6468,3,7
1,6547,3,7
1,6627,3,7
1,6592,3,7
1,6930,3,7
1,6761,3,7
1,6976,3,7
1,7044,3,7
1,7348,3,7
1,7384,3,7
1,7099,3,7
1,7197,3,7
1,7810,3,7
1,7446,3,7
1,7865,3,7
1,7945,3,7
1,7767,3,7
1,8014,3,7
1,8158,3,7
1,8229,3,7
1,8354,3,7
1,8425,3,7
1,8826,3,7
2,9262,1,5
2,9459,1,5
2,9495,1,5
2,9538,1,5
2,9574,1,5
2,9627,1,5
2,9654,1,5
2,9690,1,5
2,9743,3,5
2,9798,3,5
2,9832,3,5
2,10051,3,5
2,10104,3,5
2,9887,3,5
2,9930,3,5
2,10006,3,5
2,10195,3,5
2,10239,3,5
2,10293,3,5
2,10346,3,5
2,10373,3,5
2,10417,3,5
2,10453,3,5
2,10514,3,5
2,10532,3,5
2,10649,3,5
2,10701,3,5
2,10765,3,5
2,9280,3,5
2,10827,3,5
2,10872,3,5
2,10916,3,5
2,10943,3,5
2,11174,3,5
2,11058,3,5
2,11236,3,5
2,11307,3,5
2,11352,3,5
2,9333,3,5
2,11398,3,5
2,11423,3,5
2,11478,3,5
2,11502,3,5
2,11539,3,5
2,11584,1,5
2,11637,3,5
2,11664,3,5
2,11735,3,5
2,11762,3,5
2,12144,3,5
2,12091,1,5
2,11842,3,5
2,11940,3,5
2,12206,3,5
2,11995,3,5
2,12037,3,5
2,12224,3,5
2,12242,3,5
2,12288,3,5
2,12340,3,5
2,12055,3,5
2,12368,3,5
2,12402,3,5
2,12126,3,5
2,9360,3,5
2,12509,3,5
2,12457,3,5
2,12572,3,5
2,12689,3,5
2,12643,3,5
2,9397,3,5
2,12778,3,5
2,12812,3,5
2,12849,3,5
2,12876,3,5
3,13169,1,3
3,13490,1,3
3,13622,1,3
3,13668,1,3
3,13301,1,3
3,13757,1,3
3,13819,3,3
3,13891,3,3
3,13935,3,3
3,13999,3,3
3,14049,3,3
3,14085,3,3
3,14165,3,3
3,14272,3,3
3,14450,3,3
3,13187,3,3
3,14352,3,3
3,14405,3,3
3,14584,3,3
3,14673,3,3
3,14726,3,3
3,13276,3,3
3,14753,3,3
3,14851,3,3
3,14922,3,3
3,14940,3,3
3,15064,3,3
3,15108,3,3
3,15233,3,3
3,15313,3,3
3,15402,3,3
3,15448,3,3
3,15493,3,3
3,15554,3,3
3,15652,3,3
3,15741,3,3
3,15830,3,3
3,15901,3,3
3,15983,3,3
3,16132,3,3
3,16329,3,3
3,16365,3,3
3,16285,3,3
3,16427,3,3
3,16454,3,3
3,16506,3,3
3,16472,3,3
3,16551,3,3
3,16613,3,3
3,16659,3,3
3,16739,3,3
3,16757,3,3
3,16908,3,3
3,16944,3,3
3,17049,3,3
3,13365,3,3
3,17101,3,3
3,17209,3,3
3,17254,3,3
3,17334,3,3
3,17398,3,3
3,17423,3,3
3,17496,3,3
3,17575,3,3
3,17619,3,3
3,17726,3,3
3,17771,3,3
3,17824,3,3
3,17851,3,3
3,18028,3,3
3,17913,3,3
3,17968,3,3
3,18162,3,3
3,18242,3,3
3,18331,3,3
3,18411,3,3
3,18475,3,3
3,18527,3,3
3,18554,3,3
3,18581,3,3
3,18670,3,3
3,18741,3,3
3,18778,3,3
3,19114,3,3
3,13392,1,3
3,18858,3,3
3,18938,3,3
3,19141,3,3
3,19007,3,3
3,19212,3,3
3,19249,3,3
3,19338,3,3
3,19392,3,3
3,19560,3,3
3,19631,3,3
3,19695,3,3
3,13524,3,3
3,19793,3,3
3,19999,3,3
4,20297,1,1
4,20563,1,1
4,20778,1,1
4,20821,1,1
4,22166,1,1
4,20876,1,1
4,20910,1,1
4,20965,1,1
4,21007,3,1
4,21098,3,1
4,21123,3,1
4,21196,3,1
4,21454,3,1
4,21249,3,1
4,21338,3,1
4,21418,3,1
4,21506,3,1
4,21560,3,1
4,21597,3,1
4,21668,3,1
4,21757,3,1
4,21720,3,1
4,21855,3,1
4,21891,3,1
4,21971,3,1
4,22059,3,1
4,22111,3,1
4,22237,3,1
4,22380,3,1
4,22460,3,1
4,22488,3,1
4,22576,3,1
4,22665,3,1
4,22781,3,1
4,22718,3,1
4,22834,3,1
4,20607,3,1
4,22898,3,1
4,20313,3,1
4,22941,3,1
4,23047,3,1
4,23127,3,1
4,20359,3,1
4,23207,3,1
4,23289,3,1
4,23350,3,1
4,23387,3,1
4,20411,3,1
4,23449,3,1
4,20466,3,1
4,23494,3,1
4,23644,3,1
4,23715,3,1
4,23797,3,1
4,23868,3,1
4,23948,3,1
4,23975,3,1
4,24187,3,1
4,24034,3,1
4,24276,3,1
4,24089,3,1
4,24338,3,1
4,24427,3,1
4,24524,3,1
4,24631,3,1
4,24766,3,1
4,24837,3,1
4,24711,3,1
4,24999,3,1
4,25148,3,1
4,25068,3,1
4,25228,3,1
4,25291,3,1
4,25362,3,1
4,25488,3,1
4,25521,3,1
4,20670,3,1
4,25629,3,1
4,25692,3,1
4,25825,3,1
4,25745,3,1
4,25861,3,1
4,25932,3,1
4,26029,3,1
4,26083,3,1
4,26118,3,1
4,26289,3,1
5,26564,1,6
5,26699,1,6
5,26804,1,6
5,26877,1,6
5,26920,1,6
5,26975,1,6
5,26840,1,6
5,32027,1,6
5,27007,1,6
5,27070,3,6
5,27169,3,6
5,26742,3,6
5,27212,3,6
5,27285,3,6
5,27329,3,6
5,27383,3,6
5,27436,3,6
5,27506,3,6
5,27560,3,6
5,27631,3,6
5,27686,3,6
5,27757,3,6
5,27846,3,6
5,27908,3,6
5,27935,3,6
5,27971,3,6
5,28077,3,6
5,28709,3,6
5,28139,3,6
5,28193,3,6
5,28246,3,6
5,28335,3,6
5,28415,3,6
5,28497,3,6
5,28530,3,6
5,28610,3,6
5,28665,3,6
5,28763,3,6
5,28816,3,6
5,28889,3,6
5,28941,3,6
5,29001,3,6
5,29038,3,6
5,29092,3,6
5,29154,3,6
5,29243,3,6
5,29341,3,6
5,29403,3,6
5,29467,3,6
5,29519,3,6
5,29573,3,6
5,29662,3,6
5,29724,3,6
5,29813,3,6
5,29760,3,6
5,29902,3,6
5,29948,3,6
5,30014,3,6
5,30069,3,6
5,30149,3,6
5,30229,3,6
5,30274,3,6
5,30336,3,6
5,30416,3,6
5,30470,3,6
5,30568,3,6
5,30648,3,6
5,30719,3,6
5,30773,3,6
5,30844,3,6
5,30871,3,6
5,30915,1,6
5,30988,3,6
5,31011,3,6
5,31057,3,6
5,26582,3,6
5,26653,3,6
5,31128,3,6
5,31333,3,6
5,31379,3,6
5,31422,3,6
5,31208,3,6
5,31510,3,6
5,31262,3,6
5,31609,3,6
5,31565,3,6
5,31654,3,6
5,31878,3,6
5,31716,3,6
5,31789,3,6
5,31841,3,6
5,31921,3,6
5,31976,3,6
5,32090,3,6
5,32045,3,6
6,32394,1,6
6,32483,1,6
6,32544,1,6
6,32599,1,6
6,32633,3,6
6,32660,3,6
6,32704,3,6
6,32768,3,6
6,32811,3,6
6,32884,3,6
6,33015,3,6
6,33122,3,6
6,32955,3,6
6,33177,3,6
6,33202,3,6
6,33248,3,6
6,33275,3,6
6,33337,3,6
6,33364,3,6
6,33382,3,6
6,33435,3,6
6,33514,3,6
6,33541,3,6
6,33603,3,6
6,33729,3,6
6,33621,3,6
6,33765,3,6
6,33658,3,6
6,33845,3,6
6,33881,3,6
6,33952,3,6
6,33989,3,6
6,34075,3,6
6,34155,3,6
6,34173,3,6
6,34235,3,6
6,34262,3,6
6,34280,3,6
6,34333,3,6
6,34360,3,6
6,34397,3,6
6,34477,3,6
6,34618,3,6
6,34645,3,6
6,34690,3,6
6,34770,3,6
6,34850,3,6
6,34422,3,6
6,34903,3,6
6,34547,3,6
6,35152,3,6
6,34985,3,6
6,35054,3,6
6,35090,3,6
6,35269,3,6
6,35312,3,6
6,35429,3,6
7,35731,1,1
7,36006,1,1
7,35946,1,1
7,36060,1,1
7,36131,3,1
7,36202,3,1
7,36300,3,1
7,36373,3,1
7,36426,3,1
7,36453,1,1
7,36499,3,1
7,36532,3,1
7,36569,3,1
7,36649,3,1
7,36676,3,1
7,36756,3,1
7,36809,3,1
7,36907,3,1
7,36952,3,1
7,35759,3,1
7,37057,3,1
7,37011,3,1
7,37100,3,1
7,37173,3,1
7,37217,3,1
7,37280,1,1
7,37324,3,1
7,37397,3,1
7,37459,3,1
7,37618,3,1
7,37547,3,1
7,37672,3,1
7,37734,3,1
7,37770,3,1
7,37823,3,1
7,37850,3,1
7,37912,3,1
7,37958,3,1
7,38063,3,1
7,38161,3,1
7,38241,3,1
7,38321,3,1
7,38376,3,1
7,38456,3,1
7,38492,3,1
7,38544,3,1
7,38580,3,1
7,35839,3,1
7,38633,3,1
7,38679,3,1
7,38731,3,1
7,38811,3,1
7,38848,3,1
7,38893,3,1
7,39122,3,1
7,35884,3,1
7,39168,1,1
7,39220,3,1
7,38982,3,1
7,39051,3,1
7,39266,3,1
7,39328,3,1
7,39391,3,1
7,39417,3,1
7,39532,3,1
7,39612,3,1
7,39694,3,1
7,39658,3,1
7,39738,3,1
7,39792,3,1
7,39836,3,1
7,39872,3,1
8,40198,1,7
8,40278,1,7
8,40241,1,7
8,40303,1,7
8,40367,1,7
8,40394,1,7
8,40438,1,7
8,40465,1,7
8,40492,1,7
8,40526,3,7
8,40544,3,7
8,40606,3,7
8,40633,3,7
8,40688,3,7
8,40704,3,7
8,40768,3,7
8,40820,3,7
8,40857,3,7
8,40900,3,7
8,40928,3,7
8,40955,3,7
8,40991,3,7
8,40214,1,7
8,41033,3,7
8,41088,3,7
8,41113,3,7
8,41177,3,7
8,41248,3,7
8,41284,3,7
8,41346,3,7
8,41382,3,7
8,41417,3,7
8,41471,3,7
8,41541,3,7
8,41578,3,7
8,41621,3,7
8,41667,3,7
8,41701,3,7
8,41738,3,7
8,41925,3,7
8,41818,3,7
8,41854,3,7
8,41943,3,7
8,42003,3,7
8,42058,3,7
8,42076,3,7
8,42101,3,7
8,42156,3,7
8,42183,3,7
8,42236,3,7
8,42307,3,7
8,42398,3,7
9,42682,1,2
9,42753,1,2
9,43331,1,2
9,43411,1,2
9,42824,3,2
9,42842,3,2
9,42913,3,2
9,42708,3,2
9,42968,3,2
9,43019,3,2
9,43073,3,2
9,43117,3,2
9,43180,3,2
9,43242,3,2
9,43279,3,2
9,43313,3,2
9,43466,3,2
9,43493,3,2
9,43563,3,2
9,43625,3,2
9,43652,3,2
9,43698,3,2
9,43732,3,2
9,43787,3,2
9,43812,3,2
9,43867,3,2
9,43929,3,2
9,43992,3,2
9,44060,3,2
9,44113,3,2
9,42771,3,2
9,44140,3,2
9,44177,3,2
9,44202,3,2
9,44257,3,2
9,44300,3,2
9,44328,3,2
9,44355,3,2
9,44391,3,2
9,44435,3,2
9,44462,3,2
9,44505,3,2
9,44532,3,2
10,44818,1,2
10,44845,1,2
10,47916,1,2
10,48744,1,2
10,44863,3,2
10,44989,3,2
10,44934,3,2
10,45003,3,2
10,45101,3,2
10,45245,3,2
10,45334,3,2
10,45361,3,2
10,45389,3,2
10,45496,3,2
10,45539,3,2
10,45619,3,2
10,45673,3,2
10,45815,3,2
10,45753,3,2
10,45888,3,2
10,45959,3,2
10,46019,3,2
10,46108,3,2
10,46180,3,2
10,46251,3,2
10,46313,3,2
10,46377,3,2
10,46439,3,2
10,46484,3,2
10,46554,3,2
10,46769,3,2
10,46803,3,2
10,46830,3,2
10,46867,3,2
10,46910,3,2
10,47006,3,2
10,47079,3,2
10,47159,3,2
10,47186,3,2
10,47300,3,2
10,47337,3,2
10,47630,3,2
10,47373,3,2
10,47417,3,2
10,47453,3,2
10,47578,3,2
10,47774,3,2
10,47818,3,2
10,47854,3,2
10,48021,3,2
10,48138,3,2
10,48227,3,2
10,48165,3,2
10,48557,3,2
10,48325,1,2
10,48487,3,2
10,48682,3,2
10,48771,3,2
10,48842,3,2
10,48922,3,2
10,48968,3,2
10,49019,3,2
10,49046,3,2
10,49073,3,2
10,49153,3,2
10,49206,3,2
10,49233,3,2
10,49313,3,2
10,49439,3,2
10,49484,3,2
10,49545,3,2
10,49625,3,2
10,49849,3,2
10,49643,3,2
10,49769,3,2
10,49894,3,2
10,49956,3,2
10,50399,3,2
10,50022,3,2
10,50068,3,2
10,50102,3,2
10,50228,3,2
10,50326,3,2
10,50415,3,2
10,50479,3,2
11,50790,1,5
11,51010,1,5
11,50889,1,5
11,50923,1,5
11,50969,1,5
