id,age,gender,city_code
88986,28,1,46830
181233,15,1,98649
81459,29,2,125114
123489,95,1,79585
55017,71,1,106318
16299,16,2,12206
55617,61,2,136278
20610,34,2,53327
43028,35,1,154978
54244,41,2,26877
114562,46,1,87638
121486,82,2,156801
41068,16,2,122908
175869,42,1,81380
118187,81,2,74224
119655,68,1,48487
87064,94,1,178821
132580,95,2,140440
3021,31,1,135226
99841,60,2,145382
112631,13,1,64602
81094,19,1,115959
176724,84,2,46377
87814,42,1,137130
176551,17,1,138280
12428,83,1,156927
191494,56,1,100086
196591,24,1,176855
17428,13,2,5210
23447,81,1,74859
198826,20,1,98774
153066,17,1,12876
189773,33,2,151497
137478,50,1,50399
102867,11,2,78016
161268,40,1,29724
140143,53,2,164981
60297,65,2,102703
82156,14,2,133964
17787,36,1,76638
34972,11,1,176506
126322,5,1,141312
17879,56,2,133508
9034,93,1,103862
22982,69,2,65841
89695,94,2,97919
27172,21,1,76175
19907,26,1,63866
22134,28,2,179757
30883,26,1,49643
94633,17,2,98827
182678,20,1,11423
156084,94,1,104083
38714,65,1,45673
116020,87,1,93717
163044,36,2,71885
66494,13,1,86453
51527,75,1,144731
78704,77,1,93735
108351,16,1,57742
56824,33,2,147134
115608,25,1,100852
115046,98,1,6761
61708,40,2,61737
56773,99,1,179846
66284,36,2,100004
130021,78,2,174502
110769,6,1,159525
117208,60,1,114710
179985,83,1,22718
33625,74,2,83749
26306,35,1,39738
34353,55,1,74883
38,51,1,130320
178267,22,2,18741
125827,73,1,100282
128367,72,1,105909
36634,20,1,78748
106877,28,2,29154
153839,5,1,85877
66445,40,2,102838
42541,81,2,84264
21256,100,1,28193
170549,66,1,97777
72924,56,1,85412
17340,19,1,179659
144057,53,1,34173
123763,99,2,127536
9537,18,1,177557
96812,80,1,59880
108486,99,2,30416
15445,7,2,44113
167528,99,1,36373
169195,65,1,142676
176452,2,1,101804
56222,52,2,122702
80447,69,1,96940
152026,11,2,79497
151284,65,1,36426
198853,71,1,179882
99298,36,2,157086
85373,95,1,29092
163787,35,1,2915
30481,90,2,147358
102258,69,1,100273
86630,28,1,155494
8472,28,2,176613
155483,97,2,140501
186793,53,2,25629
86701,66,1,151816
61758,51,2,95612
67936,79,1,98113
84477,74,1,123674
58537,34,2,106817
123409,99,2,139330
31904,61,2,39612
154479,7,2,44202
166225,31,1,109176
121744,51,1,142612
165902,35,2,34645
145006,61,2,179481
114938,64,1,27908
89712,2,1,106407
31204,84,2,76692
126551,45,2,155289
84944,68,2,20411
2077,51,1,25861
88323,83,2,158396
166266,11,2,63300
84769,94,1,26920
32589,43,2,169351
104066,88,2,178929
107813,86,1,38161
183553,66,1,91054
169526,69,2,95293
160516,94,1,85877
52902,77,2,152038
127636,10,2,53069
133373,38,2,108106
170522,49,1,134050
153185,1,2,134853
59579,27,1,62137
174533,35,2,1936
11109,44,2,45673
41881,13,1,133330
76598,18,2,131069
33750,97,2,101056
103204,59,1,105160
126906,98,2,88449
63430,24,1,89561
103399,24,1,46251
138054,100,1,64602
9877,41,2,140379
75800,42,2,53489
134703,61,2,61951
13641,86,1,94562
71802,78,2,128221
180717,41,2,105936
27598,68,1,34155
135674,4,1,103354
151464,33,2,150766
30728,71,2,6761
99423,40,1,178377
188586,97,1,69303
116432,6,1,104270
68443,61,2,9654
198245,15,2,4703
27359,83,1,35269
46333,8,2,98373
33882,37,2,51500
182729,3,2,134443
106402,77,2,142952
150263,80,1,159071
155080,96,2,155662
2128,68,2,34422
113773,73,2,156277
58396,19,1,137728
43717,11,2,33952
184109,43,1,62191
13510,94,1,135146
164756,95,2,63893
24394,40,2,108240
117524,10,2,66401
123689,27,1,154139
61916,96,2,117783
81881,25,2,5336
194288,25,1,156035
49869,16,1,156311
61786,75,2,140280
54022,6,2,130785
13714,22,1,51500
196988,89,1,140440
1476,63,1,125542
157998,18,1,103443
51083,52,2,91731
96817,38,1,94312
176798,52,2,53167
25211,87,2,80285
3068,63,1,69526
131206,82,2,100521
392,2,2,162069
25022,26,1,118824
125168,12,2,164339
137618,32,2,179855
10977,52,1,148514
16431,97,2,46180
68177,43,1,32704
90439,97,2,41088
144713,70,1,117783
163418,94,1,172377
127715,35,2,47453
22541,67,2,39328
180699,31,1,149502
176271,30,1,105222
115421,41,2,1874
55500,51,2,17913
157787,67,2,132752
124125,73,2,40492
160480,56,1,112600
176645,7,2,115307
74864,52,2,129460
139681,20,2,75356
169547,85,1,41088
80582,58,2,74875
8223,67,1,52721
108149,0,1,16472
150961,66,1,60598
50265,24,1,133429
173602,22,1,116224
98191,51,2,147884
100494,82,2,16506
69812,16,1,151521
21944,66,2,50102
83670,45,1,117783
69341,58,1,11762
163119,80,2,159142
153645,98,1,58856
196071,27,1,22059
145438,99,2,65501
158361,61,2,110820
155301,87,2,44328
178420,72,1,9262
92756,42,2,166529
152723,82,2,75258
115520,26,2,96940
109751,90,2,143619
198462,62,1,144731
100935,60,2,74891
66205,49,2,162595
32162,99,1,151530
144987,94,2,156623
71795,57,1,38376
11741,76,1,104715
72566,45,2,71260
121267,37,2,106559
184972,93,2,87996
21238,20,2,93600
83360,62,1,61737
68150,94,2,136241
170914,96,1,136768
182865,43,2,44505
98515,9,1,146628
96876,67,2,41701
98575,44,2,32768
59618,70,1,97438
81309,88,1,169182
82318,58,2,89561
123166,7,1,129718
163763,11,2,125347
80928,68,2,128052
153608,65,2,124411
28994,44,1,21855
155155,69,1,128962
53231,70,2,147526
53123,54,2,102945
173483,46,2,70986
91730,15,2,32161
113648,100,1,80560
69196,67,1,155289
17376,71,2,117998
99215,31,1,55687
184419,29,2,176613
70029,11,2,148426
114985,92,2,139330
9458,87,1,95159
82619,78,1,151497
100331,34,2,157497
8478,15,1,99539
192268,62,2,29813
166004,67,1,124331
76467,65,1,142373
152159,100,2,10532
131779,81,2,39051
148606,31,2,118691
90419,7,1,14272
48078,86,2,172457
94734,38,1,28335
27660,90,2,120487
157653,82,1,63198
85259,42,2,26920
39333,73,1,126406
153123,54,1,129246
107386,47,2,156801
175589,16,1,120771
152681,13,2,159516
99904,27,1,1213
4240,70,1,155911
111258,83,2,41925
76480,69,1,141134
69545,36,2,129184
116201,7,1,31878
182838,59,1,43117
130655,55,2,113732
1501,95,2,136250
174469,25,2,31510
128765,12,1,152724
132823,12,2,159455
65869,98,2,52785
16344,88,1,156213
87425,82,1,165719
75256,28,2,61620
155573,63,2,142952
113022,78,2,105222
86864,100,2,151683
116033,45,1,47337
158190,6,1,154852
184845,91,1,179873
98397,67,2,153623
128902,66,1,48922
186122,79,1,72980
72842,87,2,61951
19971,51,2,124634
19715,61,1,12126
24191,32,1,107190
191764,16,1,132645
68144,55,2,43180
126269,51,1,66330
81031,42,2,26877
174084,50,2,127224
149315,91,1,122187
149151,83,1,104751
135403,2,1,24711
197336,45,2,107868
137470,88,2,85582
181549,32,2,131899
50761,48,2,160644
15304,93,1,4767
175846,42,2,152234
149447,79,1,133795
344,21,2,62538
167713,32,1,71858
159647,54,2,74509
135819,84,1,1874
71545,62,1,179515
37023,0,1,11352
61607,85,1,141884
174022,64,1,173132
48762,90,1,152564
82129,70,1,22460
59966,30,1,178475
133049,14,1,162791
85769,77,2,53167
28044,37,2,31609
89,94,1,109005
40616,98,2,176338
17298,52,1,5826
38713,81,1,86222
105795,99,2,135315
152186,23,1,96478
178585,48,1,84264
184637,8,1,32201
17909,71,2,155083
6769,43,2,26699
89550,73,2,103997
145275,60,1,133688
192608,15,2,15233
189307,70,2,129282
165320,5,1,65707
190933,40,1,17824
66363,13,2,60570
25608,2,2,85680
